,channel_name,subscribers,title,views,post_date,url
0,IGN,17.2M subscribers,SpongeBob SquarePants: The Cosmic Shake - 20 Minutes of Gameplay,11K views,6 hours ago,https://www.youtube.com/watch?v=CZ92U4graPI
1,IGN,17.2M subscribers,"Xbox, Nintendo, and Sony Won't Be Part of E3 2023 - IGN Daily Fix",14K views,6 hours ago,https://www.youtube.com/watch?v=OBho3R6bpJU
2,IGN,17.2M subscribers,The Batman 2 Release Date and More in DCU Chapter 1 ‘Gods and Monsters’ Details,11K views,8 hours ago,https://www.youtube.com/watch?v=4IIPUq8RWGk
3,IGN,17.2M subscribers,"Ant-Man and The Wasp: Quantumania - Official Teaser Trailer (2023) Paul Rudd, Jonathan Majors",58K views,10 hours ago,https://www.youtube.com/watch?v=fPQ2cWMnV3Q
4,IGN,17.2M subscribers,"Cocaine Bear - Official Behind the Scenes Clip (2023) Keri Russell, O’Shea Jackson, Jr., Ray Liotta",45K views,11 hours ago,https://www.youtube.com/watch?v=Yx1ez8E1Iws
5,IGN,17.2M subscribers,Honkai: Star Rail - Official Final Closed Beta Trailer,18K views,12 hours ago,https://www.youtube.com/watch?v=HfvgZt640M8
6,IGN,17.2M subscribers,Cyberpunk 2077 - Official 4K NVIDIA DLSS 3 Comparison Video,47K views,13 hours ago,https://www.youtube.com/watch?v=0vfYyQS4_N8
7,IGN,17.2M subscribers,DCU: Gods and Monsters - Official Roadmap Announcement (James Gunn),79K views,13 hours ago,https://www.youtube.com/watch?v=Nd6gBZI5808
8,IGN,17.2M subscribers,Atomic Heart - Official Gameplay Overview Trailer,123 waiting,"Premieres 2/1/23, 7:00 PM",https://www.youtube.com/watch?v=EsAOAW5ZGZw
9,IGN,17.2M subscribers,Street Fighter: Duel - Official Announcement Trailer,89K views,13 hours ago,https://www.youtube.com/watch?v=Hiy6JSdbx6o
10,IGN,17.2M subscribers,"Transfusion - Exclusive Official Trailer (2023) Sam Worthington, Matt Nable",19K views,13 hours ago,https://www.youtube.com/watch?v=7fDvcUFqmM8
11,IGN,17.2M subscribers,Tainted Grail: Fall of Avalon - Official Story Trailer,33K views,13 hours ago,https://www.youtube.com/watch?v=GA8bWCVlay8
12,IGN,17.2M subscribers,The Crew Motorfest - Announcement Teaser,29K views,13 hours ago,https://www.youtube.com/watch?v=uwlj-np1UNI
13,IGN,17.2M subscribers,The Crew Motorfest – First Four Cars Revealed in 4K,26K views,13 hours ago,https://www.youtube.com/watch?v=xNOc3xs-XIg
14,IGN,17.2M subscribers,Dead Space: 19 Brilliant Little Details,29K views,14 hours ago,https://www.youtube.com/watch?v=CMSKSwjA0PA
15,IGN,17.2M subscribers,Minecraft x Mattel - Official Camp Enderwood DLC Map Trailer,12K views,14 hours ago,https://www.youtube.com/watch?v=Lj0CdcWKLa4
16,IGN,17.2M subscribers,Undisputed: Early Access Hands-On Preview,53K views,14 hours ago,https://www.youtube.com/watch?v=fCJaCPahV3A
17,IGN,17.2M subscribers,Liberte - Exclusive Release Date Trailer,18K views,15 hours ago,https://www.youtube.com/watch?v=SdPj2Y-S9_M
18,IGN,17.2M subscribers,Steel Seed - Official Announcement Trailer,37K views,16 hours ago,https://www.youtube.com/watch?v=rU7kuTSe37o
19,IGN,17.2M subscribers,Avatar Generations - Official Launch Gameplay Trailer,68K views,16 hours ago,https://www.youtube.com/watch?v=jW0oBpxgfL0
20,IGN,17.2M subscribers,Teslagrad 2: The First Preview,15K views,16 hours ago,https://www.youtube.com/watch?v=38Tj9hiNqk4
21,IGN,17.2M subscribers,WWE 2K23 - Official Cody Rhodes Full Ring Entrance Trailer,92K views,19 hours ago,https://www.youtube.com/watch?v=l3NnnXjMcKE
22,IGN,17.2M subscribers,MLB The Show 23 - Official Cover Athlete Reveal: Jazz Chisholm Trailer,14K views,1 day ago,https://www.youtube.com/watch?v=hj0laILbRRs
23,IGN,17.2M subscribers,How The Last of Us Episode 3 is Adaptation at its Finest,105K views,1 day ago,https://www.youtube.com/watch?v=0HL3VqfUHEk
24,IGN,17.2M subscribers,HBO's The Last of Us Part 2 Adaptation Might Lead To Multiple Seasons - IGN The Fix: Entertainment,12K views,1 day ago,https://www.youtube.com/watch?v=3-ulupKCB9s
25,IGN,17.2M subscribers,Resident Evil 4 Could Mean Capcom’s Biggest Year Yet - IGN Daily Fix,41K views,1 day ago,https://www.youtube.com/watch?v=5Bg_4t0pe1Y
26,IGN,17.2M subscribers,VR Skater - Official PSVR2 Trailer,42K views,1 day ago,https://www.youtube.com/watch?v=T7eCwX8Nb_U
27,IGN,17.2M subscribers,Star Wars: Tales From The Galaxy's Edge: Enhanced Edition - Official PSVR2 Trailer,54K views,1 day ago,https://www.youtube.com/watch?v=pShiaeRmlLw
28,IGN,17.2M subscribers,"Murder Mystery 2 - Official Trailer (2023) Adam Sandler, Jennifer Aniston",59K views,1 day ago,https://www.youtube.com/watch?v=9Va3YRtDPO4
29,IGN,17.2M subscribers,Gundam Evolution: Season 3 - Official Hyperion Gundam Trailer,22K views,1 day ago,https://www.youtube.com/watch?v=qVtgVhKgUWE
30,WatchMojo.com,25M subscribers,Top 10 Most Brutal Deaths in Comedy Movies,25K views,4 hours ago,https://www.youtube.com/watch?v=rSpOLwKwCyk
31,WatchMojo.com,25M subscribers,10 American Killers Who Were Murdered in Prison,35K views,7 hours ago,https://www.youtube.com/watch?v=NI3rlHzq0x4
32,WatchMojo.com,25M subscribers,Top 10 Crossovers in Superhero Movies and Shows,18K views,9 hours ago,https://www.youtube.com/watch?v=4Td8PdP8ORQ
